 * Running on http://127.0.0.1:8002/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Feb/2019 02:11:29] "GET /fib/3/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:30] "GET /fib/3/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:30] "GET /fib/3/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:33] "GET /fib/1/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:34] "GET /fib/1/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:34] "GET /fib/1/5 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:37] "GET /fib/1/10 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:39] "GET /fib/1/100 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:53] "GET /fib/0/0 HTTP/1.1" 200 -
127.0.0.1 - - [06/Feb/2019 02:11:57] "GET /fib/0/-1 HTTP/1.1" 400 -
127.0.0.1 - - [06/Feb/2019 02:12:01] "GET /fib/0/grr HTTP/1.1" 400 -
127.0.0.1 - - [06/Feb/2019 02:12:05] "GET /fib/0/998989898989898989898988 HTTP/1.1" 413 -
127.0.0.1 - - [06/Feb/2019 02:12:21] "GET /fib/0/6.7 HTTP/1.1" 400 -
